COG14_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_PATHOGEN	p_COMMENSAL	N_PATHOGEN	N_COMMENSAL
Exoribonuclease R	0	1	1	NA	COG0557	GC_00002418	1	1	27	19
Outer membrane lipoprotein LolB, involved in outer membrane biogenesis	0	1	1	NA	COG3017	GC_00001510	1	1	27	19
Protein-disulfide isomerase	0	1	1	NA	COG1651	GC_00000403, GC_00001394, GC_00001975, GC_00006712	1	1	27	19
Cytochrome b561	0	1	1	NA	COG3038	GC_00002373, GC_00003160, GC_00004068	1	1	27	19
Putative copper export protein	0	1	1	NA	COG1276	GC_00002971, GC_00006294	1	1	27	19
Cysteinyl-tRNA synthetase	0	1	1	NA	COG0215	GC_00001550	1	1	27	19
Ribosomal protein L32	0	1	1	NA	COG0333	GC_00000628	1	1	27	19
DNA uptake protein ComE and related DNA-binding proteins	0	1	1	NA	COG1555	GC_00002271, GC_00006671	1	1	27	19
ABC-type iron transport system FetAB, permease component	0	1	1	NA	COG0390	GC_00000291	1	1	27	19
Nucleoside diphosphate kinase	0	1	1	NA	COG0105	GC_00001443	1	1	27	19
Uncharacterized conserved protein YceK	0	1	1	NA	COG5645	GC_00001277, GC_00001442	1	1	27	19
Predicted phosphodiesterase	0	1	1	NA	COG0622	GC_00001006	1	1	27	19
Enoyl-CoA hydratase/carnithine racemase	0	1	1	NA	COG1024	GC_00002050, GC_00003792, GC_00003909, GC_00004535, GC_00004626, GC_00005085	1	1	27	19
Na+/melibiose symporter or related transporter	0	1	1	NA	COG2211	GC_00000186, GC_00000327, GC_00002122, GC_00003180, GC_00003723, GC_00003879, GC_00003930, GC_00003933, GC_00004480, GC_00006449, GC_00006794, GC_00006817, GC_00007710, GC_00008835, GC_00011653, GC_00011937	1	1	27	19
Ammonia channel protein AmtB	0	1	1	NA	COG0004	GC_00001655	1	1	27	19
NADPH:quinone reductase or related Zn-dependent oxidoreductase	0	1	1	NA	COG0604	GC_00000223, GC_00002472, GC_00007490	1	1	27	19
Ferredoxin-like protein FixX	0	1	1	NA	COG2440	GC_00000997, GC_00002934, GC_00003122	1	1	27	19
CheY chemotaxis protein or a CheY-like REC (receiver) domain!!!HPt (histidine-containing phosphotransfer) domain!!!K+-sensing histidine kinase KdpD	0	1	1	NA	COG0784!!!COG2198!!!COG2205	GC_00002880	1	1	27	19
Trk K+ transport system, NAD-binding component	0	1	1	NA	COG0569	GC_00000890	1	1	27	19
Aspartate/methionine/tyrosine aminotransferase	0	1	1	NA	COG0436	GC_00000452, GC_00001041, GC_00001358	1	1	27	19
Homoserine acetyltransferase	0	1	1	NA	COG2021	GC_00002622, GC_00010932	1	1	27	19
Diaminopimelate epimerase	0	1	1	NA	COG0253	GC_00001114	1	1	27	19
Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine	0	1	1	NA	COG2350	GC_00001324, GC_00010643	1	1	27	19
Organic radical activating enzyme	0	1	1	NA	COG0602	GC_00001770, GC_00001910	1	1	27	19
Fatty acid/phospholipid biosynthesis enzyme	0	1	1	NA	COG0416	GC_00001160	1	1	27	19
Cupin domain protein related to quercetin dioxygenase!!!Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains	0	1	1	NA	COG1917!!!COG2169	GC_00002045	1	1	27	19
Triosephosphate isomerase	0	1	1	NA	COG0149	GC_00000857	1	1	27	19
tRNA-dihydrouridine synthase	0	1	1	NA	COG0042	GC_00000564, GC_00002043, GC_00002118	1	1	27	19
5-formyltetrahydrofolate cyclo-ligase	0	1	1	NA	COG0212	GC_00001983	1	1	27	19
SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	0	1	1	NA	COG1974	GC_00000536, GC_00001477, GC_00003917, GC_00004175, GC_00004915, GC_00005010, GC_00005225, GC_00005385, GC_00005844, GC_00006042, GC_00006143, GC_00007499, GC_00007561, GC_00008521, GC_00008543, GC_00008643, GC_00008700, GC_00009167, GC_00009315, GC_00009459, GC_00010231, GC_00010615, GC_00011133, GC_00011387, GC_00011426, GC_00012030	1	1	27	19
Transposase	0	1	1	NA	COG3677	GC_00000005, GC_00000014, GC_00000049, GC_00000062, GC_00000066, GC_00000071, GC_00000074, GC_00000479, GC_00001030, GC_00001793, GC_00003649, GC_00003727, GC_00003957, GC_00004101, GC_00004108, GC_00004127, GC_00004150, GC_00004330, GC_00004519, GC_00004599, GC_00004617, GC_00004629, GC_00005035, GC_00005502, GC_00005835, GC_00005873, GC_00006122, GC_00006135, GC_00006310, GC_00006530, GC_00006649, GC_00006694, GC_00006887, GC_00007024, GC_00007045, GC_00007096, GC_00007523, GC_00007658, GC_00007777, GC_00007991, GC_00008015, GC_00008148, GC_00008165, GC_00008275, GC_00008288, GC_00008304, GC_00008589, GC_00008852, GC_00008902, GC_00009673, GC_00009684, GC_00009716, GC_00009778, GC_00009877, GC_00009947, GC_00010124, GC_00010379, GC_00010595, GC_00010660, GC_00010669, GC_00010768, GC_00011003, GC_00011113, GC_00011163, GC_00011402, GC_00011405, GC_00011503, GC_00011723, GC_00011803, GC_00011919	1	1	27	19
Regulator of sigma D	0	1	1	NA	COG3160	GC_00001369	1	1	27	19
tRNA-binding EMAP/Myf domain!!!Methionyl-tRNA synthetase	0	1	1	NA	COG0073!!!COG0143	GC_00002520	1	1	27	19
Transcriptional regulator, contains XRE-family HTH domain	0	1	1	NA	COG1396	GC_00003595, GC_00004541, GC_00005003, GC_00005130, GC_00005162, GC_00005236, GC_00005511, GC_00005557, GC_00005758, GC_00005967, GC_00006793, GC_00006900, GC_00007438, GC_00007714, GC_00007908, GC_00008482, GC_00008582, GC_00008648, GC_00009476, GC_00009715, GC_00010173, GC_00010765, GC_00010831	1	1	27	19
Membrane associated serine protease, rhomboid family	0	1	1	NA	COG0705	GC_00001594, GC_00003747	1	1	27	19
Citrate lyase, alpha subunit	0	1	1	NA	COG3051	GC_00000369	1	1	27	19
Nucleoid-associated protein YejK (function unknown)	0	1	1	NA	COG3081	GC_00001228	1	1	27	19
Threonine aldolase	0	1	1	NA	COG2008	GC_00002593	1	1	27	19
Quinol monooxygenase YgiN	0	1	1	NA	COG1359	GC_00001417, GC_00003793, GC_00010040	1	1	27	19
ABC-type microcin C transport system, permease component YejB	0	1	1	NA	COG4174	GC_00000310	1	1	27	19
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	0	1	1	NA	COG0179	GC_00001293, GC_00004967, GC_00005536	1	1	27	19
Superfamily II DNA helicase RecQ	0	1	1	NA	COG0514	GC_00001428, GC_00008246, GC_00009793	1	1	27	19
DNA gyrase/topoisomerase IV, subunit B	0	1	1	NA	COG0187	GC_00001536, GC_00001735	1	1	27	19
16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	0	1	1	NA	COG0030	GC_00001825	1	1	27	19
Purine-nucleoside phosphorylase	0	1	1	NA	COG0813	GC_00000325	1	1	27	19
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE	0	1	1	NA	COG0821	GC_00000935	1	1	27	19
Murein L,D-transpeptidase YafK	0	1	1	NA	COG3034	GC_00000953, GC_00009549	1	1	27	19
Carbamoylphosphate synthase large subunit	0	1	1	NA	COG0458	GC_00002421	1	1	27	19
Redox-regulated molecular chaperone, HSP33 family	0	1	1	NA	COG1281	GC_00000987	1	1	27	19
Formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit	0	1	1	NA	COG3303	GC_00000300, GC_00001791	1	1	27	19
Ribosomal protein L34	0	1	1	NA	COG0230	GC_00000566	1	1	27	19
Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit	0	1	1	NA	COG4659	GC_00002266	1	1	27	19
Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA!!!Nicotinamide mononucleotide (NMN) deamidase PncC	0	1	1	NA	COG1058!!!COG1546	GC_00002645	1	1	27	19
Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	0	1	1	NA	COG1762	GC_00000322, GC_00001652, GC_00003120, GC_00003373, GC_00003732, GC_00004139, GC_00004318, GC_00004784, GC_00005575, GC_00007771, GC_00008719, GC_00009463, GC_00012178	1	1	27	19
ABC-type lipoprotein export system, ATPase component	0	1	1	NA	COG1136	GC_00001799, GC_00005656, GC_00006787, GC_00007439, GC_00011966	1	1	27	19
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	0	1	1	NA	COG1211	GC_00002189	1	1	27	19
Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase	0	1	1	NA	COG1207	GC_00001798	1	1	27	19
Signal transduction histidine kinase regulating C4-dicarboxylate transport system	0	1	1	NA	COG4191	GC_00002930, GC_00004500	1	1	27	19
FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	0	1	1	NA	COG1304	GC_00002296, GC_00003243, GC_00006960	1	1	27	19
(p)ppGpp synthase/hydrolase, HD superfamily	0	1	1	NA	COG0317	GC_00000200, GC_00001557	1	1	27	19
23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	0	1	1	NA	COG1092	GC_00002188	1	1	27	19
SOS response regulatory protein OraA/RecX, interacts with RecA	0	1	1	NA	COG2137	GC_00001529	1	1	27	19
Phosphotransferase system, fructose-specific IIC component	0	1	1	NA	COG1299	GC_00000210, GC_00002477, GC_00004325	1	1	27	19
Predicted oxidoreductase (related to aryl-alcohol dehydrogenase)	0	1	1	NA	COG0667	GC_00000226, GC_00000382, GC_00002809, GC_00002877, GC_00003212, GC_00004343, GC_00007542, GC_00008938, GC_00012114	1	1	27	19
Uncharacterized SAM-binding protein YcdF, DUF218 family	0	1	1	NA	COG1434	GC_00001461, GC_00002811	1	1	27	19
Ubiquinone/menaquinone biosynthesis C-methylase UbiE	0	1	1	NA	COG2226	GC_00000514, GC_00001213, GC_00001348, GC_00001733, GC_00002439, GC_00002734, GC_00004811, GC_00005588, GC_00010190, GC_00010505	1	1	27	19
Uncharacterized Fe-S cluster protein YjdI	0	1	1	NA	COG3592	GC_00002198	1	1	27	19
Phosphate/sulfate permease	0	1	1	NA	COG0306	GC_00000815, GC_00003228	1	1	27	19
ABC-type phosphate transport system, periplasmic component	0	1	1	NA	COG0226	GC_00001441, GC_00003782, GC_00004686, GC_00005990	1	1	27	19
D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family	0	1	1	NA	COG1064	GC_00002201, GC_00002931, GC_00003193	1	1	27	19
3-polyprenyl-4-hydroxybenzoate decarboxylase	0	1	1	NA	COG0043	GC_00001465, GC_00001581, GC_00004283, GC_00004304	1	1	27	19
Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family!!!ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase	0	1	1	NA	COG0615!!!COG2870	GC_00001551	1	1	27	19
ABC-type transporter Mla maintaining outer membrane lipid asymmetry, ATPase component MlaF	0	1	1	NA	COG1127	GC_00000792	1	1	27	19
Superoxide dismutase	0	1	1	NA	COG0605	GC_00000884, GC_00001990	1	1	27	19
Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist	0	1	1	NA	COG2334	GC_00002099	1	1	27	19
Sec-independent protein secretion pathway component TatC	0	1	1	NA	COG0805	GC_00001287	1	1	27	19
Glutamate-1-semialdehyde aminotransferase	0	1	1	NA	COG0001	GC_00002450	1	1	27	19
Uncharacterized protein YfbU, UPF0304 family	0	1	1	NA	COG3013	GC_00000833, GC_00011998	1	1	27	19
Arginine repressor	0	1	1	NA	COG1438	GC_00001447, GC_00004773	1	1	27	19
Uncharacterized protein YacL, UPF0231 family	0	1	1	NA	COG3112	GC_00001032	1	1	27	19
Phosphohistidine phosphatase SixA	0	1	1	NA	COG2062	GC_00001785	1	1	27	19
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	0	1	1	NA	COG1116	GC_00002057	1	1	27	19
Uncharacterized lipoprotein YmbA	0	1	1	NA	COG3009	GC_00002363	1	1	27	19
Glutaredoxin-related protein	0	1	1	NA	COG0278	GC_00000582	1	1	27	19
Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	0	1	1	NA	COG0026	GC_00002951	1	1	27	19
Uncharacterized conserved protein YcaQ, contains winged helix DNA-binding domain	0	1	1	NA	COG3214	GC_00002525	1	1	27	19
Preprotein translocase subunit SecD	0	1	1	NA	COG0342	GC_00001316	1	1	27	19
Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)	0	1	1	NA	COG2719	GC_00001822	1	1	27	19
Methylase of polypeptide chain release factors	0	1	1	NA	COG2890	GC_00002665, GC_00002818	1	1	27	19
dsRNA-specific ribonuclease	0	1	1	NA	COG0571	GC_00000589	1	1	27	19
Predicted Rossmann fold nucleotide-binding protein	0	1	1	NA	COG1611	GC_00000900	1	1	27	19
Ribosomal protein S18 acetylase RimI and related acetyltransferases	0	1	1	NA	COG0456	GC_00000299, GC_00000488, GC_00001201, GC_00001619, GC_00002227, GC_00002405, GC_00002723, GC_00002865, GC_00004727, GC_00005610, GC_00006012, GC_00008218, GC_00008391, GC_00009797, GC_00011732, GC_00011885	1	1	27	19
Uncharacterized protein YigE, DUF2233 family	0	1	1	NA	COG3698	GC_00000390	1	1	27	19
Inner membrane protein involved in colicin E2 resistance	0	1	1	NA	COG4452	GC_00000191	1	1	27	19
Amino acid permease	0	1	1	NA	COG0814	GC_00000162, GC_00000229, GC_00000362, GC_00000418, GC_00000788, GC_00001427, GC_00001699, GC_00001767, GC_00002579, GC_00006841, GC_00009607	1	1	27	19
Ni,Fe-hydrogenase I large subunit	0	1	1	NA	COG0374	GC_00000331, GC_00001189	1	1	27	19
Ribosomal protein L2	0	1	1	NA	COG0090	GC_00000661	1	1	27	19
Deoxyribose-phosphate aldolase	0	1	1	NA	COG0274	GC_00000307	1	1	27	19
Putative salt-induced outer membrane protein YdiY	0	1	1	NA	COG3137	GC_00001194	1	1	27	19
Type II secretory pathway, component PulF	0	1	1	NA	COG1459	GC_00000413, GC_00003851, GC_00003981, GC_00005749, GC_00007650, GC_00008388, GC_00009012, GC_00009035, GC_00009185, GC_00010909	1	1	27	19
Lactam utilization protein B (function unknown)	0	1	1	NA	COG1540	GC_00002757	1	1	27	19
Uncharacterized membrane protein YdcZ, DUF606 family	0	1	1	NA	COG3238	GC_00003144, GC_00004278	1	1	27	19
Cytoplasmic iron level regulating protein YaaA, DUF328/UPF0246 family	0	1	1	NA	COG3022	GC_00002442	1	1	27	19
Ribosomal protein L30/L7E	0	1	1	NA	COG1841	GC_00000598	1	1	27	19
L-amino acid N-acyltransferase YncA	0	1	1	NA	COG1247	GC_00000169, GC_00003081	1	1	27	19
ATP-dependent Clp protease adapter protein ClpS	0	1	1	NA	COG2127	GC_00000866	1	1	27	19
Deoxyribodipyrimidine photolyase	0	1	1	NA	COG0415	GC_00002896	1	1	27	19
Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	0	1	1	NA	COG1185	GC_00002224	1	1	27	19
Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	0	1	1	NA	COG0106	GC_00002850	1	1	27	19
ATP-dependent protease Clp, ATPase subunit	0	1	1	NA	COG1219	GC_00000808, GC_00008520	1	1	27	19
Periplasmic protein refolding chaperone Spy/CpxP family	0	1	1	NA	COG3678	GC_00001046, GC_00002021, GC_00002036, GC_00010866	1	1	27	19
Periplasmic component of the Tol biopolymer transport system	0	1	1	NA	COG0823	GC_00000843, GC_00002709, GC_00006902	1	1	27	19
GAF domain-containing protein, putative methionine-R-sulfoxide reductase	0	1	1	NA	COG1956	GC_00002318	1	1	27	19
GTPase, G3E family	0	1	1	NA	COG0523	GC_00003191, GC_00003293, GC_00005492, GC_00006229, GC_00009070	1	1	27	19
Phosphotransferase system, mannose/fructose-specific component IIA!!!Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	0	1	1	NA	COG2893!!!COG3444	GC_00000308	1	1	27	19
Uncharacterized conserved protein YfiP, DTW domain	0	1	1	NA	COG3148	GC_00002641	1	1	27	19
Regulator of RNase E activity RraB	0	1	1	NA	COG3076	GC_00001270	1	1	27	19
Nicotinic acid phosphoribosyltransferase	0	1	1	NA	COG1488	GC_00000405	1	1	27	19
Selenophosphate synthase	0	1	1	NA	COG0709	GC_00002126	1	1	27	19
Predicted membrane protein, encoded in cydAB operon	0	1	1	NA	COG3790	GC_00001081	1	1	27	19
Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	0	1	1	NA	COG1053	GC_00001011, GC_00001924, GC_00003910, GC_00004952	1	1	27	19
LysM repeat!!!Uncharacterized surface anchored protein	0	1	1	NA	COG1388!!!COG4932	GC_00002875, GC_00009192	1	1	27	19
Exonuclease I	0	1	1	NA	COG2925	GC_00002964	1	1	27	19
6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	0	1	1	NA	COG0363	GC_00000158, GC_00000949, GC_00003610, GC_00011389	1	1	27	19
HPt (histidine-containing phosphotransfer) domain!!!K+-sensing histidine kinase KdpD!!!Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains!!!Signal transduction histidine kinase, nitrate/nitrite-specific!!!Uncharacterized domain of BarA-like signal transduction histidine kinase	0	1	1	NA	COG2198!!!COG2205!!!COG3437!!!COG3850!!!COG4999	GC_00000204	1	1	27	19
Adenosine deaminase	0	1	1	NA	COG1816	GC_00002022	1	1	27	19
Thioredoxin reductase	0	1	1	NA	COG0492	GC_00001746	1	1	27	19
Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains	0	1	1	NA	COG2391	GC_00003457, GC_00003780	1	1	27	19
Leucyl-tRNA synthetase	0	1	1	NA	COG0495	GC_00000473	1	1	27	19
Multidrug transporter EmrE and related cation transporters	0	1	1	NA	COG2076	GC_00000296, GC_00000962, GC_00001162, GC_00001719, GC_00002324, GC_00003485, GC_00006250, GC_00006267, GC_00008018	1	1	27	19
Deoxyxylulose-5-phosphate synthase	0	1	1	NA	COG1154	GC_00002495	1	1	27	19
Transcriptional antiterminator Rof (Rho-off)	0	1	1	NA	COG4568	GC_00001512	1	1	27	19
Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit	0	1	1	NA	COG2041	GC_00000510, GC_00005808	1	1	27	19
Ca2+/H+ antiporter	0	1	1	NA	COG0387	GC_00002260	1	1	27	19
Cell division protein ZipA, interacts with FtsZ	0	1	1	NA	COG3115	GC_00002660	1	1	27	19
Ribosomal protein L3	0	1	1	NA	COG0087	GC_00000717	1	1	27	19
DNA polymerase III sliding clamp (beta) subunit, PCNA homolog	0	1	1	NA	COG0592	GC_00000738	1	1	27	19
Ribosomal protein L31	0	1	1	NA	COG0254	GC_00000123, GC_00000630	1	1	27	19
Uncharacterized conserved protein YifE, UPF0438 family	0	1	1	NA	COG3085	GC_00000548	1	1	27	19
Apolipoprotein N-acyltransferase	0	1	1	NA	COG0815	GC_00002957	1	1	27	19
Aspartate carbamoyltransferase, regulatory subunit	0	1	1	NA	COG1781	GC_00000849	1	1	27	19
Ferredoxin!!!Translation initiation factor RLI1, contains Fe-S and AAA+ ATPase domains	0	1	1	NA	COG1145!!!COG1245	GC_00000974	1	1	27	19
Phage shock protein PspC (stress-responsive transcriptional regulator)	0	1	1	NA	COG1983	GC_00000858, GC_00001255	1	1	27	19
Dihydropteroate synthase	0	1	1	NA	COG0294	GC_00001136, GC_00006072, GC_00008404	1	1	27	19
ABC-type sugar transport system, permease component	0	1	1	NA	COG1175	GC_00002081, GC_00002367, GC_00003121, GC_00008652	1	1	27	19
Cytochrome c-type biogenesis protein CcmH/NrfG	0	1	1	NA	COG4235	GC_00002972	1	1	27	19
Phosphoribosyl-AMP cyclohydrolase!!!Phosphoribosyl-ATP pyrophosphohydrolase	0	1	1	NA	COG0139!!!COG0140	GC_00002479	1	1	27	19
Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases	0	1	1	NA	COG1804	GC_00000112, GC_00000170, GC_00001247	1	1	27	19
Ribosomal protein S11	0	1	1	NA	COG0100	GC_00000806	1	1	27	19
L-cystine uptake protein TcyP, sodium:dicarboxylate symporter family	0	1	1	NA	COG1823	GC_00002624	1	1	27	19
Thiamine kinase and related kinases	0	1	1	NA	COG0510	GC_00002846	1	1	27	19
Imidazole glycerol phosphate synthase subunit HisF	0	1	1	NA	COG0107	GC_00001920, GC_00012143	1	1	27	19
Inorganic triphosphatase YgiF, contains CYTH and CHAD domains	0	1	1	NA	COG3025	GC_00002300	1	1	27	19
Non-ribosomal peptide synthetase component E (peptide arylation enzyme)	0	1	1	NA	COG1021	GC_00000457, GC_00004191	1	1	27	19
Polyphosphate kinase	0	1	1	NA	COG0855	GC_00001360	1	1	27	19
Alkylhydroperoxidase family enzyme, contains CxxC motif!!!N-terminal domain of uncharacterized protein YciW (function unknown)	0	1	1	NA	COG2128!!!COG4950	GC_00002907	1	1	27	19
Cation transport regulator ChaC	0	1	1	NA	COG3703	GC_00002698	1	1	27	19
Ferritin	0	1	1	NA	COG1528	GC_00000740, GC_00000966	1	1	27	19
Zn finger protein HypA/HybF (possibly regulating hydrogenase expression)	0	1	1	NA	COG0375	GC_00001060, GC_00001870	1	1	27	19
Recombinational DNA repair protein (RecF pathway)	0	1	1	NA	COG1381	GC_00001311	1	1	27	19
CO or xanthine dehydrogenase, Mo-binding subunit	0	1	1	NA	COG1529	GC_00002510, GC_00004133	1	1	27	19
Cyanate permease	0	1	1	NA	COG2807	GC_00002529, GC_00003826	1	1	27	19
DNA anti-recombination protein (rearrangement mutator) RmuC	0	1	1	NA	COG1322	GC_00002047	1	1	27	19
Pullulanase/glycogen debranching enzyme	0	1	1	NA	COG1523	GC_00002856	1	1	27	19
NADH:ubiquinone oxidoreductase subunit 1 (chain H)	0	1	1	NA	COG1005	GC_00001339	1	1	27	19
8-oxo-dGTP pyrophosphatase MutT and related house-cleaning NTP pyrophosphohydrolases, NUDIX family	0	1	1	NA	COG0494	GC_00000549, GC_00000930, GC_00001614, GC_00001724, GC_00001848, GC_00002202, GC_00002412, GC_00002598, GC_00002626	1	1	27	19
Multidrug efflux pump subunit AcrA (membrane-fusion protein)	0	1	1	NA	COG0845	GC_00000393, GC_00001579, GC_00001751, GC_00001816, GC_00002144, GC_00002480, GC_00002682, GC_00002889, GC_00003989, GC_00005306, GC_00005827, GC_00005926, GC_00006098, GC_00006619, GC_00006775, GC_00010339, GC_00011999	1	1	27	19
RNase adaptor protein for sRNA GlmZ degradation, contains a P-loop ATPase domain	0	1	1	NA	COG1660	GC_00000647	1	1	27	19
Ribosomal protein S12 methylthiotransferase accessory factor YcaO	0	1	1	NA	COG1944	GC_00002228	1	1	27	19
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants!!!GAF domain	0	1	1	NA	COG2199!!!COG2203	GC_00002764	1	1	27	19
Uncharacterized membrane protein YidH, DUF202 family	0	1	1	NA	COG2149	GC_00001034	1	1	27	19
Polyferredoxin	0	1	1	NA	COG0348	GC_00001797, GC_00002938	1	1	27	19
ATP-dependent Lon protease, bacterial type	0	1	1	NA	COG0466	GC_00001076	1	1	27	19
Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	0	1	1	NA	COG0365	GC_00002005, GC_00003354	1	1	27	19
Uncharacterized conserved protein YbjQ, UPF0145 family	0	1	1	NA	COG0393	GC_00000896	1	1	27	19
3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains	0	1	1	NA	COG2897	GC_00000506, GC_00002060	1	1	27	19
